country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Russia,,,,,,,,,,,,30.5B,31.3B,31.3B,31.1B,30.3B,30.1B,30.2B,30B,29.7B,29.8B,30B,30.5B,30.4B,30.3B,30.4B,30.4B,30.5B,30.6B,30.6B,30.7B,31B,31.2B,31.4B,31.5B,31.5B,31.3B,34.5B,34.2B,34.2B
Saudi Arabia,2.72B,2.86B,2.93B,3.03B,3.08B,3.15B,3.44B,3.58B,4.29B,4.46B,4.47B,4.46B,4.49B,4.49B,4.5B,4.74B,4.87B,5.03B,5.19B,5.25B,5.39B,5.52B,5.68B,5.77B,5.78B,5.83B,6.05B,6.25B,6.37B,6.66B,6.75B,6.84B,6.9B,6.98B,7.12B,7.21B,7.23B,5.09B,5.3B,5.39B
Syria,76.3M,76.3M,87.4M,88.2M,88.2M,105M,120M,106M,95.9M,133M,154M,170M,170M,193M,199M,199M,199M,202M,202M,204M,204M,204M,212M,246M,246M,246M,246M,241M,229M,242M,242M,242M,242M,242M,242M,242M,242M,242M,242M,242M
Thailand,272M,374M,326M,156M,196M,203M,190M,171M,182M,213M,209M,229M,215M,169M,163M,164M,183M,191M,391M,321M,335M,352M,411M,389M,330M,283M,308M,295M,317M,291M,279M,265M,238M,222M,204M,193M,180M,169M,160M,160M
Turkmenistan,,,,,,,,,,,,,,,,,,2.37B,2.27B,2.34B,2.34B,2.34B,2.34B,2.34B,2.34B,2.34B,2.34B,2.34B,7.37B,7.37B,10.2B,17.5B,17.5B,17.5B,17.5B,17.5B,17.5B,17.5B,17.5B,17.5B
Trinidad and Tobago,260M,298M,292M,277M,272M,277M,270M,265M,257M,250M,221M,208M,204M,201M,250M,305M,399M,453M,490M,530M,488M,504M,516M,466M,466M,464M,420M,421M,381M,357M,334M,329M,325M,303M,285M,285M,263M,279M,246M,261M
Ukraine,,,,,,,,,,,,,,,,,,668M,716M,710M,707M,707M,707M,703M,707M,700M,699M,699M,685M,672M,657M,656M,1.05B,1.02B,1.02B,963M,945M,929M,982M,982M
United States,4.86B,4.92B,4.92B,4.89B,4.82B,4.72B,4.68B,4.57B,4.1B,4.08B,4.13B,4.08B,4.03B,3.96B,4B,4.03B,4.06B,4.08B,4B,4.09B,4.33B,4.48B,4.56B,4.61B,4.7B,4.99B,5.15B,5.8B,5.97B,6.65B,7.43B,8.15B,7.52B,8.25B,9B,7.51B,7.86B,10.7B,11.6B,11.6B
USSR,18.4B,19.6B,20.1B,20.7B,21.6B,23B,23.6B,24B,24.5B,29.9B,31.4B,2.17B,2.15B,3.07B,3.47B,3.72B,3.55B,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,1.11B,1.11B,1.11B,1.18B,1.18B,1.18B,1.18B,1.18B,1.18B,1.19B,1.19B,1.18B,1.14B,1.13B,1.13B,1.13B,1.09B,1.09B,1.09B,1.09B,1.09B,1.09B,1.09B
Venezuela,1.26B,1.36B,1.47B,1.56B,1.66B,1.73B,2.62B,2.84B,2.85B,2.99B,3.43B,3.58B,3.69B,3.69B,3.96B,4.06B,4.05B,4.12B,4.14B,4.15B,4.15B,4.18B,4.18B,4.21B,4.29B,4.31B,4.7B,4.84B,4.98B,5.06B,5.52B,5.52B,5.56B,5.58B,5.61B,5.7B,5.73B,5.7B,5.67B,5.67B
Vietnam,0,0,0,0,0,0,0,0,0,0,13M,13M,92.1M,92.1M,116M,128M,149M,148M,148M,148M,148M,168M,200M,191M,191M,191M,191M,450M,525M,643M,581M,581M,581M,581M,581M,581M,581M,581M,581M,581M
Yemen,0,0,0,0,0,0,15.3M,102M,141M,179M,221M,292M,292M,292M,292M,292M,292M,292M,292M,292M,292M,292M,292M,292M,292M,292M,292M,292M,292M,291M,284M,274M,265M,253M,243M,240M,240M,239M,239M,238M
